range_id,deviation_code,grades
"800-1000","D","{""6"":[376,320],""7"":[410,320],""8"":[460,320],""9"":[550,320],""10"":[680,320],""11"":[880,320],""12"":[1220,320],""13"":[1720,320]}"
"1000-1250","D","{""6"":[416,350],""7"":[455,350],""8"":[515,350],""9"":[610,350],""10"":[770,350],""11"":[1010,350],""12"":[1400,350],""13"":[2000,350]}"
"1250-1600","D","{""6"":[468,390],""7"":[515,390],""8"":[585,390],""9"":[700,390],""10"":[890,390],""11"":[1170,390],""12"":[1640,390],""13"":[2340,390]}"
"1600-2000","D","{""6"":[522,430],""7"":[580,430],""8"":[660,430],""9"":[800,430],""10"":[1030,430],""11"":[1350,430],""12"":[1930,430],""13"":[2730,430]}"
"2000-2500","D","{""6"":[590,480],""7"":[655,480],""8"":[760,480],""9"":[920,480],""10"":[1180,480],""11"":[1580,480],""12"":[2230,480],""13"":[3280,480]}"
"2500-3150","D","{""6"":[655,520],""7"":[730,520],""8"":[850,520],""9"":[1060,520],""10"":[1380,520],""11"":[1870,520],""12"":[2620,520],""13"":[3820,520]}"
"0-3","E","{""5"":[18,14],""6"":[20,14],""7"":[24,14],""8"":[28,14],""9"":[39,14],""10"":[54,14]}"
"3-6","E","{""5"":[25,20],""6"":[28,20],""7"":[32,20],""8"":[38,20],""9"":[50,20],""10"":[68,20]}"
"6-10","E","{""5"":[31,25],""6"":[34,25],""7"":[40,25],""8"":[47,25],""9"":[61,25],""10"":[83,25]}"
"10-18","E","{""5"":[40,32],""6"":[43,32],""7"":[50,32],""8"":[59,32],""9"":[75,32],""10"":[102,32]}"
"18-30","E","{""5"":[49,40],""6"":[53,40],""7"":[61,40],""8"":[73,40],""9"":[92,40],""10"":[124,40]}"
"30-50","E","{""5"":[61,50],""6"":[66,50],""7"":[75,50],""8"":[89,50],""9"":[112,50],""10"":[150,50]}"
"50-80","E","{""5"":[73,60],""6"":[79,60],""7"":[90,60],""8"":[106,60],""9"":[134,60],""10"":[180,60]}"
"80-120","E","{""5"":[87,72],""6"":[94,72],""7"":[107,72],""8"":[126,72],""9"":[159,72],""10"":[212,72]}"
"120-180","E","{""5"":[103,85],""6"":[110,85],""7"":[125,85],""8"":[148,85],""9"":[185,85],""10"":[245,85]}"
"180-250","E","{""5"":[120,100],""6"":[129,100],""7"":[146,100],""8"":[172,100],""9"":[215,100],""10"":[285,100]}"
"250-315","E","{""5"":[133,110],""6"":[142,110],""7"":[162,110],""8"":[191,110],""9"":[240,110],""10"":[320,110]}"
"315-400","E","{""5"":[150,125],""6"":[161,125],""7"":[182,125],""8"":[214,125],""9"":[265,125],""10"":[355,125]}"
"400-500","E","{""5"":[162,135],""6"":[175,135],""7"":[198,135],""8"":[232,135],""9"":[290,135],""10"":[385,135]}"
"500-630","E","{""5"":[189,145],""6"":[215,145],""7"":[255,145],""8"":[320,145],""9"":[425,145]}"
"630-800","E","{""5"":[210,160],""6"":[240,160],""7"":[285,160],""8"":[360,160],""9"":[480,160]}"
"800-1000","E","{""5"":[226,170],""6"":[260,170],""7"":[310,170],""8"":[400,170],""9"":[530,170]}"
"1000-1250","E","{""5"":[261,195],""6"":[300,195],""7"":[360,195],""8"":[455,195],""9"":[615,195]}"
"1250-1600","E","{""5"":[298,220],""6"":[345,220],""7"":[415,220],""8"":[530,220],""9"":[720,220]}"
"1600-2000","E","{""5"":[332,240],""6"":[390,240],""7"":[470,240],""8"":[610,240],""9"":[840,240]}"
"2000-2500","E","{""5"":[370,260],""6"":[435,260],""7"":[540,260],""8"":[700,260],""9"":[960,260]}"
"2500-3150","E","{""5"":[425,290],""6"":[500,290],""7"":[620,290],""8"":[830,290],""9"":[1150,290]}"
"0-3","EF","{""3"":[12,10],""4"":[13,10],""5"":[14,10],""6"":[16,10],""7"":[20,10],""8"":[24,10],""9"":[35,10],""10"":[50,10]}"
"3-6","EF","{""3"":[16.5,14],""4"":[18,14],""5"":[19,14],""6"":[22,14],""7"":[26,14],""8"":[32,14],""9"":[44,14],""10"":[62,14]}"
"6-10","EF","{""3"":[20.5,18],""4"":[22,18],""5"":[24,18],""6"":[27,18],""7"":[33,18],""8"":[40,18],""9"":[54,18],""10"":[76,18]}"
"10-18","F","{""3"":[19,16],""4"":[21,16],""5"":[24,16],""6"":[27,16],""7"":[34,16],""8"":[43,16],""9"":[59,16],""10"":[86,16]}"
"18-30","F","{""3"":[24,20],""4"":[26,20],""5"":[29,20],""6"":[33,20],""7"":[41,20],""8"":[53,20],""9"":[72,20],""10"":[104,20]}"
"30-50","F","{""3"":[29,25],""4"":[32,25],""5"":[36,25],""6"":[41,25],""7"":[50,25],""8"":[64,25],""9"":[87,25],""10"":[125,25]}"
"50-80","F","{""3"":[43,30],""4"":[49,30],""5"":[60,30],""6"":[76,30],""7"":[104,30]}"
"80-120","F","{""3"":[51,36],""4"":[58,36],""5"":[71,36],""6"":[90,36],""7"":[123,36]}"
"120-180","F","{""3"":[61,43],""4"":[68,43],""5"":[83,43],""6"":[106,43],""7"":[143,43]}"
"180-250","F","{""3"":[70,50],""4"":[79,50],""5"":[96,50],""6"":[122,50],""7"":[165,50]}"
"250-315","F","{""3"":[79,56],""4"":[88,56],""5"":[108,56],""6"":[137,56],""7"":[186,56]}"
"315-400","F","{""3"":[87,62],""4"":[98,62],""5"":[119,62],""6"":[151,62],""7"":[202,62]}"
"400-500","F","{""3"":[95,68],""4"":[108,68],""5"":[131,68],""6"":[165,68],""7"":[223,68]}"
"500-630","F","{""3"":[120,76],""4"":[146,76],""5"":[186,76],""6"":[251,76]}"
"630-800","F","{""3"":[130,80],""4"":[160,80],""5"":[205,80],""6"":[280,80]}"
"800-1000","F","{""3"":[142,86],""4"":[176,86],""5"":[226,86],""6"":[316,86]}"
"1000-1250","F","{""3"":[164,98],""4"":[203,98],""5"":[263,98],""6"":[358,98]}"
"1250-1600","F","{""3"":[188,110],""4"":[235,110],""5"":[305,110],""6"":[420,110]}"
"1600-2000","F","{""3"":[212,120],""4"":[270,120],""5"":[350,120],""6"":[490,120]}"
"2000-2500","F","{""3"":[240,130],""4"":[305,130],""5"":[410,130],""6"":[570,130]}"
"2500-3150","F","{""3"":[280,145],""4"":[355,145],""5"":[475,145],""6"":[685,145]}"
"0-3","FG","{""3"":[6,4],""4"":[7,4],""5"":[8,4],""6"":[10,4],""7"":[14,4],""8"":[18,4],""9"":[29,4],""10"":[44,4]}"
